#Distance	x(m)	y(m)	Elevation(m)
2009.124081	2598892.198	1199220.903	305
2021.760082	2598899.914	1199230.909	305
2034.396082	2598907.63	1199240.916	306
2047.032083	2598915.346	1199250.922	307
2059.668083	2598923.063	1199260.928	308
2072.304084	2598930.779	1199270.935	309
2084.940085	2598938.495	1199280.941	309
2097.576085	2598946.212	1199290.947	310
2110.212086	2598953.928	1199300.954	311
2122.848086	2598961.644	1199310.96	312
2135.484087	2598969.36	1199320.967	312
2148.120087	2598977.077	1199330.973	314
2160.756088	2598984.793	1199340.979	315
2173.392088	2598992.509	1199350.986	317
2186.028089	2599000.226	1199360.992	319
2198.664089	2599007.942	1199370.998	319
2211.30009	2599015.658	1199381.005	321
2223.93609	2599023.375	1199391.011	322
2236.572091	2599031.091	1199401.017	324
2249.208091	2599038.807	1199411.024	326
2261.844092	2599046.523	1199421.03	328
2274.480092	2599054.24	1199431.037	332
2287.116093	2599061.956	1199441.043	336
2299.752093	2599069.672	1199451.049	340
2312.388094	2599077.389	1199461.056	347
2325.024094	2599085.105	1199471.062	355
2337.660095	2599092.821	1199481.068	362
2350.296095	2599100.537	1199491.075	368
2362.932096	2599108.254	1199501.081	371
2375.568096	2599115.97	1199511.087	376
2388.204097	2599123.686	1199521.094	381
2400.840097	2599131.403	1199531.1	386
2413.476098	2599139.119	1199541.107	389
2426.112098	2599146.835	1199551.113	393
2438.748099	2599154.551	1199561.119	397
2451.384099	2599162.268	1199571.126	401
2464.0201	2599169.984	1199581.132	404
2476.6561	2599177.7	1199591.138	409
2489.292101	2599185.417	1199601.145	413
2501.928101	2599193.133	1199611.151	416
2514.564102	2599200.849	1199621.157	420
2527.200102	2599208.566	1199631.164	422
2539.836103	2599216.282	1199641.17	426
2552.472103	2599223.998	1199651.177	429
2565.108104	2599231.714	1199661.183	432
2577.744104	2599239.431	1199671.189	435
2590.380105	2599247.147	1199681.196	438
2603.016106	2599254.863	1199691.202	442
2615.652106	2599262.58	1199701.208	445
2628.288107	2599270.296	1199711.215	447
2640.924107	2599278.012	1199721.221	450
2653.560108	2599285.728	1199731.227	453
2666.196108	2599293.445	1199741.234	455
2678.832109	2599301.161	1199751.24	458
2691.468109	2599308.877	1199761.247	460
2704.10411	2599316.594	1199771.253	462
2716.74011	2599324.31	1199781.259	463
2729.376111	2599332.026	1199791.266	464
2742.012111	2599339.743	1199801.272	465
2754.648112	2599347.459	1199811.278	466
2767.284112	2599355.175	1199821.285	467
2779.920113	2599362.891	1199831.291	469
2792.556113	2599370.608	1199841.298	470
2805.192114	2599378.324	1199851.304	471
2817.828114	2599386.04	1199861.31	474
2830.464115	2599393.757	1199871.317	476
2843.100115	2599401.473	1199881.323	480
2855.736116	2599409.189	1199891.329	482
2868.372116	2599416.905	1199901.336	486
2881.008117	2599424.622	1199911.342	491
2893.644117	2599432.338	1199921.348	498
2906.280118	2599440.054	1199931.355	505
2918.916118	2599447.771	1199941.361	509
2931.552119	2599455.487	1199951.368	514
2944.188119	2599463.203	1199961.374	520
2956.82412	2599470.919	1199971.38	524
2969.46012	2599478.636	1199981.387	527
2982.096121	2599486.352	1199991.393	530
2994.732121	2599494.068	1200001.399	532
3007.368122	2599501.785	1200011.406	533
3020.004122	2599509.501	1200021.412	533
3032.640123	2599517.217	1200031.418	533
3045.276123	2599524.934	1200041.425	532
3057.912124	2599532.65	1200051.431	531
3070.548124	2599540.366	1200061.438	530
3083.184125	2599548.082	1200071.444	530
3095.820125	2599555.799	1200081.45	529
3108.456126	2599563.515	1200091.457	528
3121.092127	2599571.231	1200101.463	527
3133.728127	2599578.948	1200111.469	526
3146.364128	2599586.664	1200121.476	525
3159.000128	2599594.38	1200131.482	524
3171.636129	2599602.096	1200141.488	522
3184.272129	2599609.813	1200151.495	522
3196.90813	2599617.529	1200161.501	521
3209.54413	2599625.245	1200171.508	520
3222.180131	2599632.962	1200181.514	520
3234.816131	2599640.678	1200191.52	520
3247.452132	2599648.394	1200201.527	520
3260.088132	2599656.11	1200211.533	520
3272.724133	2599663.827	1200221.539	520
3285.360133	2599671.543	1200231.546	520
3297.996134	2599679.259	1200241.552	521
3310.632134	2599686.976	1200251.558	521
3323.268135	2599694.692	1200261.565	522
3335.904135	2599702.408	1200271.571	523
3348.540136	2599710.125	1200281.578	524
3361.176136	2599717.841	1200291.584	524
3373.812137	2599725.557	1200301.59	525
3386.448137	2599733.273	1200311.597	526
3399.084138	2599740.99	1200321.603	527
3411.720138	2599748.706	1200331.609	527
3424.356139	2599756.422	1200341.616	528
3436.992139	2599764.139	1200351.622	529
3449.62814	2599771.855	1200361.629	530
3462.26414	2599779.571	1200371.635	530
3474.900141	2599787.287	1200381.641	531
3487.536141	2599795.004	1200391.648	533
3500.172142	2599802.72	1200401.654	534
3512.808142	2599810.436	1200411.66	536
3525.444143	2599818.153	1200421.667	537
3538.080143	2599825.869	1200431.673	539
3550.716144	2599833.585	1200441.679	540
3563.352144	2599841.301	1200451.686	540
3575.988145	2599849.018	1200461.692	540
3588.624145	2599856.734	1200471.699	540
3601.260146	2599864.45	1200481.705	540
3613.896147	2599872.167	1200491.711	540
3626.532147	2599879.883	1200501.718	540
3639.168148	2599887.599	1200511.724	540
3651.804148	2599895.316	1200521.73	540
3664.440149	2599903.032	1200531.737	540
3677.076149	2599910.748	1200541.743	540
3689.71215	2599918.464	1200551.749	540
3702.34815	2599926.181	1200561.756	540
3702.34815	2599926.181	1200561.756	540
