#Distance	x(m)	y(m)	Elevation(m)
429.4723854	2597927.568	1197969.987	608.6790161
433.1747336	2597929.829	1197972.919	608.2709961
436.8770817	2597932.09	1197975.851	607.6970215
440.5794299	2597934.351	1197978.783	607.2659912
444.281778	2597936.612	1197981.715	606.8099976
447.9841262	2597938.873	1197984.646	605.9860229
451.6864743	2597941.134	1197987.578	605.4420166
455.3888225	2597943.395	1197990.51	605.1779785
459.0911706	2597945.655	1197993.442	604.4140015
462.7935188	2597947.916	1197996.374	603.1270142
466.4958669	2597950.177	1197999.306	601.8060303
470.1982151	2597952.438	1198002.238	600.5239868
473.9005632	2597954.699	1198005.17	599.3309937
477.6029114	2597956.96	1198008.101	598.3579712
481.3052595	2597959.221	1198011.033	597.8640137
485.0076077	2597961.482	1198013.965	596.322998
488.7099558	2597963.742	1198016.897	594.5250244
492.412304	2597966.003	1198019.829	593.3989868
496.1146521	2597968.264	1198022.761	591.3900146
499.8170003	2597970.525	1198025.693	591.0239868
503.5193484	2597972.786	1198028.624	590.0139771
507.2216966	2597975.047	1198031.556	589.5830078
510.9240447	2597977.308	1198034.488	590.052002
514.6263929	2597979.569	1198037.42	589.2810059
518.328741	2597981.829	1198040.352	589.5549927
522.0310892	2597984.09	1198043.284	589.0339966
525.7334373	2597986.351	1198046.216	589.440979
529.4357855	2597988.612	1198049.147	589.6339722
533.1381336	2597990.873	1198052.079	590.0059814
536.8404818	2597993.134	1198055.011	590.1359863
540.5428299	2597995.395	1198057.943	590.1359863
544.2451781	2597997.656	1198060.875	589.6090088
547.9475262	2597999.916	1198063.807	589.2600098
551.6498744	2598002.177	1198066.739	588.1030273
555.3522225	2598004.438	1198069.671	587.2559814
559.0545707	2598006.699	1198072.602	586.7930298
562.7569188	2598008.96	1198075.534	586.4990234
566.459267	2598011.221	1198078.466	585.8829956
570.1616151	2598013.482	1198081.398	585.5819702
573.8639633	2598015.743	1198084.33	584.3740234
577.5663114	2598018.003	1198087.262	583.6989746
581.2686596	2598020.264	1198090.194	583.0570068
584.9710077	2598022.525	1198093.125	582.9069824
588.6733559	2598024.786	1198096.057	582.7919922
592.375704	2598027.047	1198098.989	582.2999878
596.0780522	2598029.308	1198101.921	582.2160034
599.7804003	2598031.569	1198104.853	582.2050171
603.4827485	2598033.83	1198107.785	581.6799927
607.1850966	2598036.09	1198110.717	581.1959839
610.8874448	2598038.351	1198113.649	581.0510254
614.5897929	2598040.612	1198116.58	580.3880005
618.2921411	2598042.873	1198119.512	579.9539795
621.9944892	2598045.134	1198122.444	579.2059937
625.6968374	2598047.395	1198125.376	578.5939941
629.3991855	2598049.656	1198128.308	578.4849854
633.1015337	2598051.917	1198131.24	577.7689819
636.8038818	2598054.177	1198134.172	576.742981
640.50623	2598056.438	1198137.103	576.2880249
644.2085781	2598058.699	1198140.035	575.6149902
647.9109263	2598060.96	1198142.967	575.1270142
651.6132744	2598063.221	1198145.899	574.4379883
655.3156226	2598065.482	1198148.831	574.0609741
659.0179707	2598067.743	1198151.763	573.7819824
662.7203189	2598070.003	1198154.695	572.5120239
666.422667	2598072.264	1198157.626	572.0739746
670.1250152	2598074.525	1198160.558	571.5579834
673.8273633	2598076.786	1198163.49	570.9329834
677.5297115	2598079.047	1198166.422	570.3930054
681.2320596	2598081.308	1198169.354	569.2810059
684.9344078	2598083.569	1198172.286	568.6610107
688.6367559	2598085.83	1198175.218	568.3060303
692.3391041	2598088.09	1198178.15	567.4849854
696.0414522	2598090.351	1198181.081	567.4799805
699.7438004	2598092.612	1198184.013	567.4849854
703.4461485	2598094.873	1198186.945	567.3510132
707.1484967	2598097.134	1198189.877	567.0670166
710.8508448	2598099.395	1198192.809	566.7340088
714.553193	2598101.656	1198195.741	566.4470215
718.2555411	2598103.917	1198198.673	566.8770142
721.9578893	2598106.177	1198201.604	566.0020142
725.6602374	2598108.438	1198204.536	565.8449707
729.3625856	2598110.699	1198207.468	565.684021
733.0649337	2598112.96	1198210.4	565.151001
736.7672819	2598115.221	1198213.332	564.9699707
740.46963	2598117.482	1198216.264	565.0759888
744.1719782	2598119.743	1198219.196	564.4840088
747.8743263	2598122.004	1198222.128	564.039978
751.5766745	2598124.264	1198225.059	564.1430054
755.2790226	2598126.525	1198227.991	564.0800171
758.9813708	2598128.786	1198230.923	563.6040039
762.6837189	2598131.047	1198233.855	563.4359741
766.3860671	2598133.308	1198236.787	563.1740112
770.0884152	2598135.569	1198239.719	562.9459839
773.7907634	2598137.83	1198242.651	562.7109985
777.4931115	2598140.091	1198245.582	562.5239868
781.1954597	2598142.351	1198248.514	562.447998
784.8978078	2598144.612	1198251.446	562.242981
788.600156	2598146.873	1198254.378	561.9769897
792.3025041	2598149.134	1198257.31	561.6690063
796.0048523	2598151.395	1198260.242	561.8309937
799.7072004	2598153.656	1198263.174	561.5130005
803.4095486	2598155.917	1198266.106	561.0109863
807.1118967	2598158.178	1198269.037	561.0009766
810.8142449	2598160.438	1198271.969	560.7180176
814.516593	2598162.699	1198274.901	560.3959961
818.2189412	2598164.96	1198277.833	560.1409912
821.9212893	2598167.221	1198280.765	559.1810303
825.6236375	2598169.482	1198283.697	558.684021
829.3259856	2598171.743	1198286.629	557.9400024
833.0283338	2598174.004	1198289.56	557.9609985
836.7306819	2598176.265	1198292.492	557.8519897
840.4330301	2598178.525	1198295.424	557.9329834
844.1353782	2598180.786	1198298.356	558.09198
847.8377264	2598183.047	1198301.288	558.1220093
851.5400745	2598185.308	1198304.22	558.0770264
855.2424227	2598187.569	1198307.152	558.2009888
858.9447708	2598189.83	1198310.083	558.1929932
862.647119	2598192.091	1198313.015	558.1879883
866.3494671	2598194.352	1198315.947	558.0529785
870.0518153	2598196.612	1198318.879	558.2080078
